Commit,Date,Test,Checks,Num Tokens (mean),Num Tokens (median),Num Tokens (min),Num Tokens (max),Num Tokens (stddev),Total (mean),Total (median),Total (min),Total (max),Total (stddev),TTFT (mean),TTFT (median),TTFT (min),TTFT (max),TTFT (stddev),TPS (mean),TPS (median),TPS (min),TPS (max),TPS (stddev)
bdca01f278c958f9b08205b4083b8d2cbeb27fa6,2025-11-15 01:25:50,llama_3.2_1b,5/5,40.0,40.0,40.0,40.0,0.0,71.5661,71.2861,70.1559,73.711,1.354265942863512,24.48358,24.7811,23.6152,25.1859,0.6018589249982088,0.828,0.82,0.8,0.86,0.020396078054371127
6c71ce319c5f37aa6d2ddecacfdc2f69caa903f1,2025-11-17 16:25:20,llama_3.2_1b,5/5,40.0,40.0,40.0,40.0,0.0,71.41018,71.6966,69.8948,72.2656,0.8138505425445148,24.660180000000004,24.7788,24.0361,24.9735,0.32744648051246483,0.834,0.83,0.82,0.86,0.014966629547095779
aec88fd7782c9f5aa88f82cd588ad19b89335435,2025-11-18 17:48:50,llama_3.2_1b,5/5,40.0,40.0,40.0,40.0,0.0,70.86388,72.1181,66.9891,72.9493,2.2283758788857884,23.45934,23.999,21.4975,24.8734,1.3709880868920779,0.8240000000000001,0.82,0.81,0.86,0.01854723699099139
611b7cf36d4f06be9abbaa3e3c8d48644e2368a4,2025-11-19 01:00:16,llama_3.2_1b,5/5,40.0,40.0,40.0,40.0,0.0,71.25,71.3418,70.7411,71.7181,0.3958936422828745,23.93888,24.1999,22.888,24.5936,0.6136951601568967,0.8240000000000001,0.83,0.8,0.84,0.013564659966250508
6f12cc4b503354e223d5a495dcb00d4b0c505d98,2025-11-19 14:20:05,llama_3.2_1b,5/5,40.0,40.0,40.0,40.0,0.0,71.30332,71.0143,70.4908,72.7189,0.8015947365096692,24.11474,24.2148,23.7014,24.6594,0.3527159968019605,0.8240000000000001,0.82,0.81,0.84,0.010198039027185548
c53e87d3f59106c8963db5c97e7f5a465e8e7972,2025-11-19 18:32:41,llama_3.2_1b,5/5,40.0,40.0,40.0,40.0,0.0,28.057499999999997,27.813,27.0832,29.3609,0.8605793978477525,15.9857,15.8835,14.9845,17.1682,0.8129197180533875,3.2300000000000004,3.22,3.2,3.27,0.02366431913239841
85aed8af78886675337277d839fc5ea6a9dc4e33,2025-11-19 19:54:14,llama_3.2_1b,5/5,40.0,40.0,40.0,40.0,0.0,28.371140000000004,28.8815,26.039,29.5354,1.3093923561713645,16.29442,16.7447,13.9653,17.4206,1.2652516767821336,3.2299999999999995,3.22,3.2,3.29,0.031622776601683764
a7f0f076f514bae0c328e55aa9194eda7b20b20a,2025-11-19 23:26:37,llama_3.2_1b,5/5,40.0,40.0,40.0,40.0,0.0,28.273059999999997,28.7077,27.1203,29.4795,0.9124338586440118,16.2026,16.5853,15.1305,17.3197,0.8750886537945741,3.2299999999999995,3.23,3.2,3.26,0.02280350850198266
049c9e46c540486fa36aa20e4a362e0f7bc13934,2025-11-20 04:58:39,llama_3.2_1b,5/5,40.0,40.0,40.0,40.0,0.0,15.571019999999999,15.5651,15.4234,15.675,0.08636500217101822,6.854380000000001,6.871,6.7808,6.9268,0.05130381662215793,4.476000000000001,4.49,4.4,4.53,0.04409081537009716
deb54da24bd9d83caabfcc2815059b502dcab5a1,2025-11-20 14:21:40,llama_3.2_1b,5/5,40.0,40.0,40.0,40.0,0.0,15.638679999999999,15.7075,15.4725,15.7537,0.10830491032266265,6.89838,6.9214,6.8209,6.9533,0.04735826854943063,4.462,4.45,4.41,4.52,0.045343136195018355
